date,open,high,low,close,volume
7/15/2021,282,282.51001,279.829987,281.029999,22604200
7/16/2021,282.070007,284.100006,279.459991,280.75,26186800
7/19/2021,278.929993,280.369995,274.450012,277.01001,32935600
7/20/2021,278.029999,280.970001,276.26001,279.320007,26259700
7/21/2021,278.899994,281.519989,277.290009,281.399994,24364300
7/22/2021,283.839996,286.420013,283.420013,286.140015,23384100
7/23/2021,287.369995,289.98999,286.5,289.670013,22768100
7/26/2021,289,289.690002,286.640015,289.049988,23176100
7/27/2021,289.429993,289.579987,282.950012,286.540009,33604100
7/28/2021,288.98999,290.149994,283.829987,286.220001,33566900
7/29/2021,286.23999,288.619995,286.079987,286.5,18168300
7/30/2021,285.170013,286.660004,283.910004,284.910004,20944800
8/2/2021,286.359985,286.769989,283.73999,284.820007,16267400
8/3/2021,285.420013,287.230011,284,287.119995,17879000
8/4/2021,286.220001,287.589996,284.649994,286.51001,16191300
8/5/2021,286.880005,289.630005,286.100006,289.519989,13900200
8/6/2021,288.51001,289.5,287.619995,289.459991,16589300
8/9/2021,289.75,291.549988,287.809998,288.329987,16117600
8/10/2021,288.799988,289.25,285.200012,286.440002,18616600
8/11/2021,287.209991,288.660004,285.859985,286.950012,13955900
8/12/2021,286.630005,289.970001,286.339996,289.809998,14561300
8/13/2021,289.480011,292.899994,289.299988,292.850006,18249000
8/16/2021,293.190002,294.820007,290.019989,294.600006,22507600
8/17/2021,292.390015,293.429993,291.079987,293.079987,20075300
8/18/2021,292.040009,294.820007,290.269989,290.730011,21813000
8/19/2021,288.690002,297.470001,288.640015,296.769989,29850500
8/20/2021,299.720001,305.839996,298.059998,304.359985,40817600
8/23/2021,303.25,305.399994,301.850006,304.649994,22830200
8/24/2021,305.019989,305.649994,302,302.619995,18175800
8/25/2021,304.299988,304.589996,300.420013,302.01001,20006100
8/26/2021,300.98999,302.429993,298.950012,299.089996,17666100
8/27/2021,298.98999,300.869995,296.829987,299.720001,22605700
8/30/2021,301.119995,304.220001,301.059998,303.589996,16348100
